hashtag_H 	 cluster_C_leader(userID) 	 relative_frequency_H_C 	 frequency_H_in_C 	 frequency_H_overall 	 count_H_in_C 	 count_hashtags_in_C 	 count_H_entire_dataset 	 count_hashtags_entire_dataset
China 	 100256670 	 1.4231971263 	 .0038461538 	 1 	 110 	 288 	 106569
COVID19 	 100256670 	 .6725972589 	 .0192307692 	 5 	 1096 	 3047 	 106569
OathKeepers 	 100256670 	 45.5423215235 	 .0038461538 	 1 	 4 	 9 	 106569
Sedition 	 100256670 	 51.2351192973 	 .0038461538 	 1 	 2 	 8 	 106569
djokovich 	 100256670 	 68.3135227303 	 .0038461538 	 1 	 1 	 6 	 106569
AustralianOpen2022 	 100256670 	 40.9880845177 	 .0038461538 	 1 	 3 	 10 	 106569
Hawaii 	 100256670 	 34.1567310313 	 .0038461538 	 1 	 5 	 12 	 106569
DonaldTrump 	 100256670 	 34.1567310313 	 .0038461538 	 1 	 4 	 12 	 106569
Republican 	 100256670 	 1 17.8209038349 	 1 .0038461538 	 1 1 	 8 	 23 	 106569
January6th 	 100256670 	 11.9673224420 	 .0153846153 	 4 	 34 	 137 	 106569
January6th 	 100256670 	 11.9673224420 	 .0153846153 	 4 	 34 	 137 	 106569
GraphicTruth 	 100256670 	 204.9412962045 	 .0038461538 	 1 	 1 	 2 	 106569
flu 	 100256670 	 51.2351192973 	 .0038461538 	 1 	 4 	 8 	 106569
BREAKING 	 1028022611324747776 	 49 .0786061163 	 49 .0005170630 	 49 1 	 362 	 701 	 106569
SARSCoV2 	 1028022611324747776 	 2.2959539809 	 .0036194415 	 7 	 62 	 168 	 106569
COVID19 	 1028022611324747776 	 1.1935645243 	 .0341261633 	 66 	 1096 	 3047 	 106569
Belarus 	 1028022611324747776 	 5 .2416793330 	 5 .0005170630 	 5 1 	 97 	 228 	 106569
HateWontWin 	 1028022611324747776 	 2.2959536637 	 .0005170630 	 1 	 10 	 24 	 106569
Ottawa 	 1028022611324747776 	 1 .1522179217 	 1 .0005170630 	 1 1 	 50 	 362 	 106569
OttawaOccupation 	 1028022611324747776 	 .5739884159 	 .0005170630 	 1 	 15 	 96 	 106569
BA2 	 1028022611324747776 	 44 1 .1395009824 	 44 1 .0005170630 	 44 1 1 	 222 	 395 	 106569
Covid19 	 1028022611324747776 	 .4630495415 	 .0015511892 	 3 	 146 	 357 	 106569
COVID19 	 1028022611324747776 	 1.1935645243 	 .0341261633 	 66 	 1096 	 3047 	 106569
UkraineGenocide 	 1028022611324747776 	 6.8878640498 	 .0005170630 	 1 	 1 	 8 	 106569
PutinAtrocities 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
IP 	 1028022611324747776 	 1 1 27.5515663048 	 1 1 .0005170630 	 1 1 1 	 1 	 2 	 106569
Ukraine 	 1028022611324747776 	 114 19 6 4 3 3 3 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 .0000000850 232 .0000656851 	 114 19 6 4 3 3 3 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 .0005170630 	 114 19 6 4 3 3 3 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 	 2509 83 4 	 6080 232 7 	 106569
Afghanistan 	 1028022611324747776 	 .7250380668 	 .0005170630 	 1 	 24 	 76 	 106569
ICYMI 	 1028022611324747776 	 5.0093543371 	 .0010341261 	 2 	 9 	 22 	 106569
FollowMeDon 	 1028022611324747776 	 18.3676782460 	 .0005170630 	 1 	 1 	 3 	 106569
LongCovid 	 1028022611324747776 	 .4678083168 	 .0098241985 	 19 	 956 	 2238 	 106569
LongCovid 	 1028022611324747776 	 .4678083168 	 .0098241985 	 19 	 956 	 2238 	 106569
BA4 	 1028022611324747776 	 12.7160622560 	 .0015511892 	 3 	 8 	 13 	 106569
BA5 	 1028022611324747776 	 11.0205806093 	 .0010341261 	 2 	 6 	 10 	 106569
BA2 	 1028022611324747776 	 44 1 .1395009824 	 44 1 .0005170630 	 44 1 1 	 222 	 395 	 106569
BA4 	 1028022611324747776 	 12.7160622560 	 .0015511892 	 3 	 8 	 13 	 106569
BA2 	 1028022611324747776 	 44 1 .1395009824 	 44 1 .0005170630 	 44 1 1 	 222 	 395 	 106569
COVID19 	 1028022611324747776 	 1.1935645243 	 .0341261633 	 66 	 1096 	 3047 	 106569
LongCovid 	 1028022611324747776 	 .4678083168 	 .0098241985 	 19 	 956 	 2238 	 106569
COVID19 	 1028022611324747776 	 1.1935645243 	 .0341261633 	 66 	 1096 	 3047 	 106569
LongCovid 	 1028022611324747776 	 .4678083168 	 .0098241985 	 19 	 956 	 2238 	 106569
WearAMask 	 1028022611324747776 	 .8063838262 	 .0015511892 	 3 	 28 	 205 	 106569
GetVaccinated 	 1028022611324747776 	 1.0596710665 	 .0005170630 	 1 	 7 	 52 	 106569
GetBoosted 	 1028022611324747776 	 1.6697846175 	 .0005170630 	 1 	 5 	 33 	 106569
scicomm 	 1028022611324747776 	 18.3676782460 	 .0005170630 	 1 	 1 	 3 	 106569
globalhealth 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
HIV 	 1028022611324747776 	 3.4439320249 	 .0005170630 	 1 	 7 	 16 	 106569
TB 	 1028022611324747776 	 9.1838228111 	 .0005170630 	 1 	 3 	 6 	 106569
malaria 	 1028022611324747776 	 13.7757464505 	 .0005170630 	 1 	 2 	 4 	 106569
NTDs 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
polio 	 1028022611324747776 	 7.8718461264 	 .0005170630 	 1 	 3 	 7 	 106569
TxBioGHS2022 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
StandWithUkraine 	 1028022611324747776 	 19 3 1 1 .0000003348 .0026086385 	 19 3 1 1 .0005170630 	 19 3 1 1 1 	 240 67 	 1544 278 	 106569
TeamPatriot 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
FreeSpeech 	 1028022611324747776 	 2.5046769263 	 .0005170630 	 1 	 6 	 22 	 106569
Transnistria 	 1028022611324747776 	 7.3470563494 	 .0010341261 	 2 	 6 	 15 	 106569
Tiraspol 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
Transnistria 	 1028022611324747776 	 7.3470563494 	 .0010341261 	 2 	 6 	 15 	 106569
JillsPin 	 1028022611324747776 	 27.5514955653 	 .0010341261 	 2 	 2 	 4 	 106569
OnTheIssuesPod 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
PeckishPig 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
RayLong 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
MarieDillon 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
chicagotribune 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
TheWatergateGirl 	 1028022611324747776 	 41.3272446801 	 .0015511892 	 3 	 3 	 4 	 106569
MeToo 	 1028022611324747776 	 5.0093544985 	 .0015511892 	 3 	 12 	 33 	 106569
COVID19 	 1028022611324747776 	 1.1935645243 	 .0341261633 	 66 	 1096 	 3047 	 106569
LongCovid 	 1028022611324747776 	 .4678083168 	 .0098241985 	 19 	 956 	 2238 	 106569
Omicron 	 1028022611324747776 	 39 .0657552354 	 39 .0005170630 	 39 1 	 316 	 838 	 106569
Omicron 	 1028022611324747776 	 39 .0657552354 	 39 .0005170630 	 39 1 	 316 	 838 	 106569
Omicron 	 1028022611324747776 	 39 .0657552354 	 39 .0005170630 	 39 1 	 316 	 838 	 106569
Omicron 	 1028022611324747776 	 39 .0657552354 	 39 .0005170630 	 39 1 	 316 	 838 	 106569
Omicron 	 1028022611324747776 	 39 .0657552354 	 39 .0005170630 	 39 1 	 316 	 838 	 106569
Omicron 	 1028022611324747776 	 39 .0657552354 	 39 .0005170630 	 39 1 	 316 	 838 	 106569
UrbanWarfare 	 1028022611324747776 	 27.5514955653 	 .0010341261 	 2 	 2 	 4 	 106569
PlanYourVote 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
VelshiBannedBookClub 	 1028022611324747776 	 19.4480877125 	 .0031023784 	 6 	 6 	 17 	 106569
VelshiBannedBookClub 	 1028022611324747776 	 19.4480877125 	 .0031023784 	 6 	 6 	 17 	 106569
DeadRussianGenerals 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
Russian 	 1028022611324747776 	 23 3 3 1 1 .0610220233 	 23 3 3 1 1 .0005170630 	 23 3 3 1 1 1 	 397 	 903 	 106569
Ukrainian 	 1028022611324747776 	 9 3 .1102057742 	 9 3 .0005170630 	 9 3 1 	 218 	 500 	 106569
Zaporizhzhia 	 1028022611324747776 	 4.3049142635 	 .0025853154 	 5 	 31 	 64 	 106569
SistersInLaw 	 1028022611324747776 	 11.0205793882 	 .0036194415 	 7 	 13 	 35 	 106569
BREAKING 	 1028022611324747776 	 49 .0786061163 	 49 .0005170630 	 49 1 	 362 	 701 	 106569
MarjorieTaylorGreene 	 1028022611324747776 	 3.5936672063 	 .0015511892 	 3 	 17 	 46 	 106569
MarjorieTaylorGreene 	 1028022611324747776 	 3.5936672063 	 .0015511892 	 3 	 17 	 46 	 106569
MarjorieTaylorGreene 	 1028022611324747776 	 3.5936672063 	 .0015511892 	 3 	 17 	 46 	 106569
mccarthyTapes 	 1028022611324747776 	 27.5515663048 	 .0005170630 	 1 	 1 	 2 	 106569
