hashtag_H 	 cluster_C_leader(userID) 	 relative_frequency_H_C 	 frequency_H_in_C 	 frequency_H_overall 	 count_H_in_C 	 count_hashtags_in_C 	 count_H_entire_dataset 	 count_hashtags_entire_dataset
StopRussia 	 1238583088998830081 	 27.7523442960 	 .0500000000 	 1 	 3 	 192 	 106569
StopWar 	 1238583088998830081 	 177.6150350416 	 .0500000000 	 1 	 1 	 30 	 106569
StopPutin 	 1238583088998830081 	 42.9713742752 	 .0500000000 	 1 	 5 	 124 	 106569
Ukraine 	 1238583088998830081 	 1 1 1 1 .0000082236 232 .0000656851 	 1 1 1 1 .0500000000 	 1 1 1 1 1 	 28 4 	 6080 232 7 	 106569
RussianOilAndGas 	 1238583088998830081 	 2664.2368826297 	 .0500000000 	 1 	 1 	 2 	 106569
ShutdownPutin 	 1238583088998830081 	 5328.5021580433 	 .0500000000 	 1 	 1 	 1 	 106569
CleanEnergy 	 1238583088998830081 	 1332.1148922452 	 .0500000000 	 1 	 1 	 4 	 106569
ShutdownOligarchs 	 1238583088998830081 	 5328.5021580433 	 .0500000000 	 1 	 1 	 1 	 106569
RussianMilitary 	 1238583088998830081 	 2664.2368826297 	 .0500000000 	 1 	 1 	 2 	 106569
PutinsWar 	 1238583088998830081 	 47.1544283006 	 .0500000000 	 1 	 1 	 113 	 106569
RussiaInvadedUkraine 	 1238583088998830081 	 49.7985995239 	 .0500000000 	 1 	 1 	 107 	 106569
Mariupol 	 1238583088998830081 	 8.6220874739 	 .0500000000 	 1 	 2 	 618 	 106569
StandWithUkraine 	 1238583088998830081 	 1 .0000323834 .0026086385 	 1 .0500000000 	 1 1 	 21 7 	 1544 278 	 106569
ukraineanimalsneedingrescue 	 1238583088998830081 	 5328.5021580433 	 .0500000000 	 1 	 1 	 1 	 106569
ukraineanimals 	 1238583088998830081 	 1 5328.5021580433 	 1 .0500000000 	 1 1 	 1 	 1 	 106569
ukrainepets 	 1238583088998830081 	 5328.5021580433 	 .0500000000 	 1 	 1 	 1 	 106569
CatsOfUkraine 	 1238583088998830081 	 1332.1148922452 	 .0500000000 	 1 	 1 	 4 	 106569
catsneedingrescue 	 1238583088998830081 	 5328.5021580433 	 .0500000000 	 1 	 1 	 1 	 106569
Scomicron 	 1238949674989416449 	 4440.3869175544 	 .1250000000 	 1 	 1 	 3 	 106569
